sample	tissue	file
V10_S3	Colon	Colon/fragments/V10_S3.ends_100kb.tsv
V21_S11	Colon	Colon/fragments/V21_S11.ends_100kb.tsv
V21_S12	Colon	Colon/fragments/V21_S12.ends_100kb.tsv
V21_S13	Colon	Colon/fragments/V21_S13.ends_100kb.tsv
V21_S14	Colon	Colon/fragments/V21_S14.ends_100kb.tsv
V21_S15	Colon	Colon/fragments/V21_S15.ends_100kb.tsv
V23_S1	Colon	Colon/fragments/V23_S1.ends_100kb.tsv
V23_S3	Colon	Colon/fragments/V23_S3.ends_100kb.tsv
V23_S6	Colon	Colon/fragments/V23_S6.ends_100kb.tsv
V23_S7	Colon	Colon/fragments/V23_S7.ends_100kb.tsv
V23_S8	Colon	Colon/fragments/V23_S8.ends_100kb.tsv
V24_S1	Colon	Colon/fragments/V24_S1.ends_100kb.tsv
V24_S2	Colon	Colon/fragments/V24_S2.ends_100kb.tsv
V24_S3	Colon	Colon/fragments/V24_S3.ends_100kb.tsv
VY_S1	Colon	Colon/fragments/VY_S1.ends_100kb.tsv
VY_S2	Colon	Colon/fragments/VY_S2.ends_100kb.tsv
VY_S4	Colon	Colon/fragments/VY_S4.ends_100kb.tsv
VY_S7	Colon	Colon/fragments/VY_S7.ends_100kb.tsv
VY_S8	Colon	Colon/fragments/VY_S8.ends_100kb.tsv
VZ_S2	Colon	Colon/fragments/VZ_S2.ends_100kb.tsv
VZ_S3	Colon	Colon/fragments/VZ_S3.ends_100kb.tsv
VZ_S6	Colon	Colon/fragments/VZ_S6.ends_100kb.tsv
VZ_S7	Colon	Colon/fragments/VZ_S7.ends_100kb.tsv
VZ_S8	Colon	Colon/fragments/VZ_S8.ends_100kb.tsv
V12_S14	Healthy	Healthy/fragments/V12_S14.ends_100kb.tsv
V12_S3	Healthy	Healthy/fragments/V12_S3.ends_100kb.tsv
V13_S1	Healthy	Healthy/fragments/V13_S1.ends_100kb.tsv
V13_S10	Healthy	Healthy/fragments/V13_S10.ends_100kb.tsv
V13_S2	Healthy	Healthy/fragments/V13_S2.ends_100kb.tsv
V13_S8	Healthy	Healthy/fragments/V13_S8.ends_100kb.tsv
V13_S9	Healthy	Healthy/fragments/V13_S9.ends_100kb.tsv
V17_S16	Healthy	Healthy/fragments/V17_S16.ends_100kb.tsv
V17_S18	Healthy	Healthy/fragments/V17_S18.ends_100kb.tsv
V17_S19	Healthy	Healthy/fragments/V17_S19.ends_100kb.tsv
V32_S10	Healthy	Healthy/fragments/V32_S10.ends_100kb.tsv
V32_S11	Healthy	Healthy/fragments/V32_S11.ends_100kb.tsv
V32_S12	Healthy	Healthy/fragments/V32_S12.ends_100kb.tsv
V32_S7	Healthy	Healthy/fragments/V32_S7.ends_100kb.tsv
V32_S8	Healthy	Healthy/fragments/V32_S8.ends_100kb.tsv
V32_S9	Healthy	Healthy/fragments/V32_S9.ends_100kb.tsv
V34_S1	Healthy	Healthy/fragments/V34_S1.ends_100kb.tsv
V34_S2	Healthy	Healthy/fragments/V34_S2.ends_100kb.tsv
V34_S3	Healthy	Healthy/fragments/V34_S3.ends_100kb.tsv
V34_S4	Healthy	Healthy/fragments/V34_S4.ends_100kb.tsv
V34_S5	Healthy	Healthy/fragments/V34_S5.ends_100kb.tsv
V34_S6	Healthy	Healthy/fragments/V34_S6.ends_100kb.tsv
V34_S7	Healthy	Healthy/fragments/V34_S7.ends_100kb.tsv
V34_S8	Healthy	Healthy/fragments/V34_S8.ends_100kb.tsv
V34_S9	Healthy	Healthy/fragments/V34_S9.ends_100kb.tsv
V36_S14	Healthy	Healthy/fragments/V36_S14.ends_100kb.tsv
V36_S16	Healthy	Healthy/fragments/V36_S16.ends_100kb.tsv
V36_S5	Healthy	Healthy/fragments/V36_S5.ends_100kb.tsv
V36_S6	Healthy	Healthy/fragments/V36_S6.ends_100kb.tsv
V36_S8	Healthy	Healthy/fragments/V36_S8.ends_100kb.tsv
V37_S8	Healthy	Healthy/fragments/V37_S8.ends_100kb.tsv
V6_S13	Healthy	Healthy/fragments/V6_S13.ends_100kb.tsv
V6_S14	Healthy	Healthy/fragments/V6_S14.ends_100kb.tsv
V6_S15	Healthy	Healthy/fragments/V6_S15.ends_100kb.tsv
V6_S16	Healthy	Healthy/fragments/V6_S16.ends_100kb.tsv
V7_S10	Healthy	Healthy/fragments/V7_S10.ends_100kb.tsv
V7_S11	Healthy	Healthy/fragments/V7_S11.ends_100kb.tsv
V7_S12	Healthy	Healthy/fragments/V7_S12.ends_100kb.tsv
V7_S13	Healthy	Healthy/fragments/V7_S13.ends_100kb.tsv
V7_S14	Healthy	Healthy/fragments/V7_S14.ends_100kb.tsv
V7_S15	Healthy	Healthy/fragments/V7_S15.ends_100kb.tsv
V7_S16	Healthy	Healthy/fragments/V7_S16.ends_100kb.tsv
V7_S4	Healthy	Healthy/fragments/V7_S4.ends_100kb.tsv
V7_S5	Healthy	Healthy/fragments/V7_S5.ends_100kb.tsv
V7_S6	Healthy	Healthy/fragments/V7_S6.ends_100kb.tsv
V7_S7	Healthy	Healthy/fragments/V7_S7.ends_100kb.tsv
V7_S8	Healthy	Healthy/fragments/V7_S8.ends_100kb.tsv
V7_S9	Healthy	Healthy/fragments/V7_S9.ends_100kb.tsv
V24_S4	Liver	Liver/fragments/V24_S4.ends_100kb.tsv
V24_S8	Liver	Liver/fragments/V24_S8.ends_100kb.tsv
V25_S1	Liver	Liver/fragments/V25_S1.ends_100kb.tsv
V25_S10	Liver	Liver/fragments/V25_S10.ends_100kb.tsv
V25_S2	Liver	Liver/fragments/V25_S2.ends_100kb.tsv
V25_S3	Liver	Liver/fragments/V25_S3.ends_100kb.tsv
V25_S7	Liver	Liver/fragments/V25_S7.ends_100kb.tsv
V25_S8	Liver	Liver/fragments/V25_S8.ends_100kb.tsv
V26_S2	Liver	Liver/fragments/V26_S2.ends_100kb.tsv
V26_S3	Liver	Liver/fragments/V26_S3.ends_100kb.tsv
V3_S1	Liver	Liver/fragments/V3_S1.ends_100kb.tsv
V3_S3	Liver	Liver/fragments/V3_S3.ends_100kb.tsv
V3_S4	Liver	Liver/fragments/V3_S4.ends_100kb.tsv
V5_S1	Liver	Liver/fragments/V5_S1.ends_100kb.tsv
V5_S2	Liver	Liver/fragments/V5_S2.ends_100kb.tsv
V5_S3	Liver	Liver/fragments/V5_S3.ends_100kb.tsv
V5_S4	Liver	Liver/fragments/V5_S4.ends_100kb.tsv
V6_S1	Liver	Liver/fragments/V6_S1.ends_100kb.tsv
V6_S2	Liver	Liver/fragments/V6_S2.ends_100kb.tsv
V6_S3	Liver	Liver/fragments/V6_S3.ends_100kb.tsv
V6_S4	Liver	Liver/fragments/V6_S4.ends_100kb.tsv
V6_S5	Liver	Liver/fragments/V6_S5.ends_100kb.tsv
V6_S6	Liver	Liver/fragments/V6_S6.ends_100kb.tsv
V6_S7	Liver	Liver/fragments/V6_S7.ends_100kb.tsv
V6_S8	Liver	Liver/fragments/V6_S8.ends_100kb.tsv
V39_S10	Ovary	Ovary/fragments/V39_S10.ends_100kb.tsv
V39_S11	Ovary	Ovary/fragments/V39_S11.ends_100kb.tsv
V39_S12	Ovary	Ovary/fragments/V39_S12.ends_100kb.tsv
V39_S2	Ovary	Ovary/fragments/V39_S2.ends_100kb.tsv
V39_S3	Ovary	Ovary/fragments/V39_S3.ends_100kb.tsv
V39_S4	Ovary	Ovary/fragments/V39_S4.ends_100kb.tsv
V39_S5	Ovary	Ovary/fragments/V39_S5.ends_100kb.tsv
V39_S6	Ovary	Ovary/fragments/V39_S6.ends_100kb.tsv
V39_S7	Ovary	Ovary/fragments/V39_S7.ends_100kb.tsv
V39_S8	Ovary	Ovary/fragments/V39_S8.ends_100kb.tsv
V39_S9	Ovary	Ovary/fragments/V39_S9.ends_100kb.tsv
V11_S12	Pancreas	Pancreas/fragments/V11_S12.ends_100kb.tsv
V13_S4	Pancreas	Pancreas/fragments/V13_S4.ends_100kb.tsv
V13_S5	Pancreas	Pancreas/fragments/V13_S5.ends_100kb.tsv
V15_S5	Pancreas	Pancreas/fragments/V15_S5.ends_100kb.tsv
V15_S6	Pancreas	Pancreas/fragments/V15_S6.ends_100kb.tsv
V15_S7	Pancreas	Pancreas/fragments/V15_S7.ends_100kb.tsv
V16_S1	Pancreas	Pancreas/fragments/V16_S1.ends_100kb.tsv
V16_S11	Pancreas	Pancreas/fragments/V16_S11.ends_100kb.tsv
V16_S3	Pancreas	Pancreas/fragments/V16_S3.ends_100kb.tsv
